lan_code,cluster,count,total_count,fraction
ber,3,456,6314,0.0722204624643649
ber,6,3147,23595,0.13337571519389702
ber,7,401,9709,0.04130188484910907
ber,11,3730,5222,0.7142857142857143
ber,13,3,25534,0.0001174904049502624
ber,14,1696,3770,0.449867374005305
ber,15,63,6326,0.009958899778691115
ber,17,5,6088,0.0008212877792378449
ber,20,1,17300,5.7803468208092484e-05
ber,24,1846,2002,0.922077922077922
ber,25,994,5890,0.16876061120543293
ber,43,11,7719,0.0014250550589454593
ber,44,2019,48190,0.04189665905789583
ber,50,754,813,0.9274292742927429
ber,52,2176,4159,0.5232026929550373
ber,54,1,15063,6.638783774812455e-05
ber,59,6246,6257,0.998241968994726
ber,61,1,8188,0.00012212994626282364
ber,65,88,10737,0.008195957902579864
ber,67,192,4355,0.04408725602755453
ber,70,10,6127,0.0016321201240411295
ber,78,1,2454,0.00040749796251018743
ber,79,1,11307,8.844078889183692e-05
ber,83,7,4698,0.001489995742869306
ber,84,672,14179,0.04739403342972001
ber,88,17118,24564,0.6968734733756717
ber,89,605,29819,0.0202890774338509
ber,100,1303,3341,0.3900029931158336
ber,110,518,6813,0.07603111698223984
ber,114,5242,6897,0.7600405973611716
ber,115,2708,9669,0.28007032785189784
ber,117,8047,8313,0.9680019246962589
ber,119,1,5716,0.0001749475157452764
ber,129,558,18235,0.030600493556347683
ber,136,1558,2778,0.5608351331893449
ber,139,1294,5382,0.24043106651802304
ber,140,9384,22122,0.42419311093029566
ber,145,11,6139,0.001791822772438508
ber,150,3345,4242,0.7885431400282885
ber,157,1,7502,0.00013329778725673153
ber,164,71,2320,0.030603448275862068
ber,167,1,9647,0.0001036591686534674
ber,169,864,14238,0.0606826801517067
ber,171,910,1155,0.7878787878787878
ber,172,1670,2625,0.6361904761904762
ber,174,1,15784,6.335529650278763e-05
ber,175,2,8843,0.00022616759018432659
ber,176,1,11420,8.756567425569177e-05
ber,181,47,10950,0.004292237442922374
ber,182,967,8003,0.120829688866675
ber,188,28263,644468,0.04385477634265782
ber,192,7510,11340,0.6622574955908289
ber,193,61,2652,0.023001508295625944
deu,8,4412,4412,1.0
deu,13,2,25534,7.832693663350827e-05
deu,14,4,3770,0.0010610079575596816
deu,16,2,5734,0.0003487966515521451
deu,17,3230,6088,0.5305519053876478
deu,18,10202,10393,0.9816222457423266
deu,20,26,17300,0.0015028901734104045
deu,25,1,5890,0.00016977928692699492
deu,30,8370,9617,0.8703337839243007
deu,39,231,13920,0.016594827586206895
deu,43,2,7719,0.0002591009198082653
deu,44,4212,48190,0.08740402573147955
deu,46,1,10402,9.613535858488752e-05
deu,53,4988,4991,0.9993989180524945
deu,61,5823,8188,0.7111626770884221
deu,68,7156,7156,1.0
deu,78,57,2454,0.023227383863080684
deu,79,14,11307,0.001238171044485717
deu,84,284,14179,0.020029621270893576
deu,85,1,12021,8.318775476249896e-05
deu,89,1,29819,3.353566517991885e-05
deu,91,1,12006,8.329168748958855e-05
deu,96,1163,1164,0.9991408934707904
deu,100,11,3341,0.0032924274169410356
deu,103,12,9557,0.0012556241498378152
deu,111,2,7125,0.0002807017543859649
deu,116,1,3540,0.0002824858757062147
deu,122,4522,4522,1.0
deu,123,1,6616,0.00015114873035066505
deu,128,3,14329,0.00020936562216484055
deu,141,8605,8615,0.9988392338943702
deu,143,236,2868,0.08228730822873083
deu,145,2,6139,0.00032578595862518323
deu,148,1597,1600,0.998125
deu,149,6628,6865,0.9654770575382374
deu,155,3546,5307,0.6681741096664783
deu,157,1,7502,0.00013329778725673153
deu,159,1,1331,0.0007513148009015778
deu,161,2302,2302,1.0
deu,170,11220,11233,0.9988426956289504
deu,175,1,8843,0.00011308379509216329
deu,176,28,11420,0.0024518388791593695
deu,179,1,4328,0.0002310536044362292
deu,180,20,6916,0.002891844997108155
deu,181,1992,10950,0.18191780821917808
deu,182,90,8003,0.011245782831438211
deu,183,5757,5757,1.0
deu,188,13438,644468,0.02085130681430265
deu,199,6382,6384,0.99968671679198
eng,1,4621,4622,0.9997836434443964
eng,3,5512,6314,0.8729806778587267
eng,12,8233,14374,0.5727702796716293
eng,13,1,25534,3.9163468316754135e-05
eng,14,102,3770,0.027055702917771884
eng,17,26,6088,0.0042706964520367935
eng,21,1218,10898,0.11176362635345935
eng,22,1,10898,9.175995595522114e-05
eng,24,1,2002,0.0004995004995004995
eng,25,74,5890,0.012563667232597622
eng,42,2942,7490,0.39279038718291054
eng,43,3,7719,0.000388651379712398
eng,44,5005,48190,0.1038597219340112
eng,48,464,13724,0.03380938501894491
eng,55,9824,9825,0.9998982188295166
eng,58,1475,5228,0.2821346595256312
eng,61,2,8188,0.0002442598925256473
eng,66,1,5502,0.0001817520901490367
eng,70,281,6127,0.04586257548555574
eng,78,1879,2454,0.7656886715566422
eng,79,1,11307,8.844078889183692e-05
eng,81,14702,14726,0.9983702295260084
eng,84,4212,14179,0.2970590309612808
eng,88,3,24564,0.00012212994626282364
eng,89,1,29819,3.353566517991885e-05
eng,94,3721,3722,0.9997313272434175
eng,100,1634,3341,0.4890751272074229
eng,103,7841,9557,0.8204457465731925
eng,104,1,4428,0.00022583559168925022
eng,123,3,6616,0.00045344619105199517
eng,157,1,7502,0.00013329778725673153
eng,166,4416,4533,0.9741892786234282
eng,169,4774,14238,0.3352999016715831
eng,170,2,11233,0.00017804682631532092
eng,175,7,8843,0.0007915865656451431
eng,178,10645,10648,0.9997182569496619
eng,179,4327,4328,0.9997689463955638
eng,180,11,6916,0.0015905147484094853
eng,181,1963,10950,0.17926940639269406
eng,182,3377,8003,0.421966762464076
eng,188,12379,644468,0.019208091014604294
eng,198,896,21515,0.041645363699744364
epo,4,6534,6583,0.9925565851435516
epo,5,6434,6457,0.9964379742914666
epo,9,2251,2251,1.0
epo,12,3,14374,0.00020871017114234034
epo,13,745,25534,0.029176783895981828
epo,16,1,5734,0.00017439832577607255
epo,17,338,6088,0.05551905387647832
epo,20,229,17300,0.01323699421965318
epo,30,255,9617,0.026515545388374754
epo,37,1764,1764,1.0
epo,43,5011,7719,0.6491773545796088
