lan_code,cluster,count,total_count,fraction
ber,1,91,118699,0.0007666450433449313
ber,2,7,113658,6.158827359270794e-05
ber,3,60793,102035,0.5958053609055716
ber,4,365,116712,0.003127356227294537
ber,5,9392,324516,0.028941562203404454
ber,6,3,115778,2.5911658518889598e-05
ber,8,3,107699,2.785541184226409e-05
ber,9,13,111691,0.00011639254729566393
ber,11,69,104604,0.0006596306068601583
ber,12,42910,101301,0.4235891057343955
ber,14,12,101168,0.00011861458168590859
ber,15,1,83923,1.1915684615659592e-05
ber,17,2923,75860,0.038531505404692856
deu,1,33,118699,0.00027801413659761244
deu,2,32,113658,0.0002815463935666649
deu,4,2,116712,1.713619850572349e-05
deu,5,803,324516,0.0024744542641965267
deu,6,114754,115778,0.9911554872255524
deu,8,4,107699,3.7140549123018785e-05
deu,9,13,111691,0.00011639254729566393
deu,11,11,104604,0.00010515850254292379
deu,12,1,101301,9.87157086307144e-06
deu,16,4,91397,4.376511264045866e-05
deu,17,925,75860,0.012193514368573688
eng,1,113552,118699,0.9566382193615784
eng,5,602,324516,0.0018550703201074832
eng,6,1,115778,8.637219506296534e-06
eng,8,1,107699,9.285137280754696e-06
eng,9,1,111691,8.953272868897225e-06
eng,12,1,101301,9.87157086307144e-06
eng,16,1,91397,1.0941278160114665e-05
eng,17,2423,75860,0.031940416556815183
epo,1,4,118699,3.369868322395302e-05
epo,2,85,113658,0.0007478576079114537
epo,4,113973,116712,0.9765319761464116
epo,5,2102,324516,0.006477338559577956
epo,6,2,115778,1.7274439012593068e-05
epo,9,10,111691,8.953272868897225e-05
epo,10,1,108372,9.227475731738825e-06
epo,11,17,104604,0.00016251768574815495
epo,12,1,101301,9.87157086307144e-06
epo,14,1,101168,9.884548473825716e-06
epo,16,7,91397,7.658894712080265e-05
epo,17,379,75860,0.004996045346691273
fin,1,609,118699,0.005130624520846848
fin,2,873,113658,0.007680937549490577
fin,3,5,102035,4.900279315921007e-05
fin,4,71,116712,0.000608335046953184
fin,5,19023,324516,0.05861960581296454
fin,8,4,107699,3.7140549123018785e-05
fin,9,81,111691,0.0007252151023806753
fin,10,30,108372,0.0002768242719521648
fin,11,86,104604,0.0008221482926083132
fin,12,4,101301,3.948628345228576e-05
fin,14,5,101168,4.942274236912858e-05
fin,15,2,83923,2.3831369231319184e-05
fin,16,90630,91397,0.991608039651192
fin,17,5159,75860,0.0680068547324018
fra,1,17,118699,0.00014321940370180035
fra,2,768,113658,0.0067571134455999575
fra,4,132,116712,0.0011309891013777504
fra,5,2295,324516,0.0070720704063898234
fra,6,1,115778,8.637219506296534e-06
fra,8,14,107699,0.00012999192193056575
fra,9,110600,111691,0.9902319793000331
fra,10,10,108372,9.227475731738826e-05
fra,11,150,104604,0.0014339795801307789
fra,14,5,101168,4.942274236912858e-05
fra,16,24,91397,0.0002625906758427519
fra,17,2566,75860,0.0338254679673082
heb,0,103916,103916,1.0
heb,3,1,102035,9.800558631842015e-06
heb,5,12663,324516,0.039021188477609735
heb,17,2,75860,2.6364355391510678e-05
hun,1,106,118699,0.0008930151054347552
hun,2,483,113658,0.004249590877896848
hun,4,288,116712,0.0024676125848241827
hun,5,7692,324516,0.023702991532004586
hun,6,195,115778,0.0016842578037278239
hun,8,365,107699,0.003389075107475464
hun,9,119,111691,0.00106543947139877
hun,10,44,108372,0.0004060089321965083
hun,11,85,104604,0.0008125884287407747
hun,12,11,101301,0.00010858727949378584
hun,14,9,101168,8.896093626443144e-05
hun,15,83867,83923,0.9993327216615231
hun,16,58,91397,0.0006345941332866505
hun,17,23260,75860,0.30661745320326916
ita,1,7,118699,5.897269564191779e-05
ita,2,673,113658,0.005921272589698922
ita,4,718,116712,0.006151895263554733
ita,5,2574,324516,0.007931812298931331
ita,9,197,111691,0.0017637947551727535
ita,10,22,108372,0.00020300446609825416
ita,11,103717,104604,0.9915204007494933
ita,12,53,101301,0.0005231932557427864
ita,14,2,101168,1.976909694765143e-05
ita,17,8619,75860,0.11361718955971527
jpn,1,8,118699,6.739736644790604e-05
jpn,2,1,113658,8.798324798958279e-06
jpn,5,116566,324516,0.3591995464014101
jpn,6,1,115778,8.637219506296534e-06
jpn,9,1,111691,8.953272868897225e-06
jpn,17,5,75860,6.59108884787767e-05
kab,1,249,118699,0.0020977430306910756
kab,2,5,113658,4.399162399479139e-05
kab,3,41219,102035,0.40396922624589604
kab,4,205,116712,0.0017564603468366578
kab,5,15028,324516,0.046308964735174846
kab,6,25,115778,0.0002159304876574133
kab,8,3,107699,2.785541184226409e-05
kab,9,2,111691,1.790654573779445e-05
kab,11,164,104604,0.0015678176742763184
kab,12,58279,101301,0.5753052783289405
kab,14,9,101168,8.896093626443144e-05
kab,15,3,83923,3.574705384697878e-05
kab,16,2,91397,2.188255632022933e-05
kab,17,1389,75860,0.018310044819404167
nld,1,1187,118699,0.01000008424670806
nld,2,1081,113658,0.009510989107673899
nld,4,56,116712,0.00047981355816025775
nld,5,2444,324516,0.007531215718177224
nld,6,277,115778,0.0023925098032441397
nld,8,107256,107699,0.9958866841846257
nld,9,314,111691,0.0028113276808337286
nld,10,5,108372,4.613737865869413e-05
nld,11,3,104604,2.8679591602615577e-05
nld,12,15,101301,0.0001480735629460716
nld,14,1,101168,9.884548473825716e-06
nld,15,2,83923,2.3831369231319184e-05
nld,16,35,91397,0.0003829447356040133
nld,17,3906,75860,0.051489586079620356
pol,1,2791,118699,0.023513256219513223
pol,2,53,113658,0.00046631121434478873
pol,4,256,116712,0.0021934334087326066
pol,5,104241,324516,0.321219909033761
pol,6,508,115778,0.004387707509198638
pol,8,44,107699,0.00040854604035320664
pol,9,139,111691,0.0012445049287767144
pol,10,264,108372,0.00243605359317905
pol,11,68,104604,0.0006500707429926198
pol,12,2,101301,1.974314172614288e-05
pol,14,229,101168,0.0022635616005060887
pol,15,14,83923,0.0001668195846192343
pol,16,614,91397,0.006717944790310404
pol,17,7359,75860,0.09700764566306354
por,1,2,118699,1.684934161197651e-05
por,2,1980,113658,0.017420683101937392
por,4,28,116712,0.00023990677908012888
por,5,1819,324516,0.005605270618397861
por,7,1,127080,7.869058860560278e-06
por,8,1,107699,9.285137280754696e-06
por,9,33,111691,0.0002954580046736084
por,10,106964,108372,0.9870077141697118
por,11,44,104604,0.00042063401017169516
por,12,3,101301,2.961471258921432e-05
por,14,4,101168,3.953819389530286e-05
por,15,19,83923,0.00022639800769753225
por,16,1,91397,1.0941278160114665e-05
por,17,5683,75860,0.0749143158449776
rus,1,1,118699,8.424670805988255e-06
rus,4,1,116712,8.568099252861745e-06
rus,5,6842,324516,0.02108370619630465
rus,7,109355,127080,0.8605209316965691
rus,13,381,90067,0.0042301841962094884
rus,17,2,75860,2.6364355391510678e-05
spa,1,24,118699,0.00020219209934371814
spa,2,107366,113658,0.9446409403649545
spa,4,253,116712,0.0021677291109740214
spa,5,2244,324516,0.0069149132862478275
spa,8,1,107699,9.285137280754696e-06
spa,9,98,111691,0.0008774207411519281
spa,10,387,108372,0.0035710331081829257
spa,11,178,104604,0.0017016557684218577
spa,12,2,101301,1.974314172614288e-05
spa,14,17,101168,0.00016803732405503718
spa,15,1,83923,1.1915684615659592e-05
spa,17,6011,75860,0.07923807012918534
tur,1,17,118699,0.00014321940370180035
tur,2,251,113658,0.002208379524538528
tur,3,17,102035,0.00016660949674131425
tur,4,364,116712,0.0031187881280416753
tur,5,9015,324516,0.027779832119217543
tur,6,11,115778,9.500941456926187e-05
tur,8,3,107699,2.785541184226409e-05
tur,9,70,111691,0.0006267291008228057
tur,10,645,108372,0.0059517218469715425
tur,11,12,104604,0.00011471836641046231
tur,12,19,101301,0.00018755984639835736
tur,14,100874,101168,0.9970939427486952
tur,15,14,83923,0.0001668195846192343
tur,16,21,91397,0.00022976684136240795
tur,17,5249,75860,0.06919325072501978
ukr,1,1,118699,8.424670805988255e-06
ukr,5,9171,324516,0.02826054801612247
ukr,7,17724,127080,0.13947119924457035
ukr,13,89686,90067,0.9957698158037905
